VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
6428,2014-09-30,2018-09-30,2018-08-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Mild,600,500,61000,17000,41000
6429,2014-09-30,2018-04-30,2018-02-28,2018-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,400,400,76000,16000,40000
6430,2014-11-30,2018-11-30,2018-11-30,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,E,Major,NULL,NULL,50000,16000,36000
6431,2014-10-31,2018-10-31,2018-10-31,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,F,No,200,NULL,47000,18000,40000
6432,2014-10-31,2018-10-31,2018-10-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,Moderate,600,NULL,75000,14000,36000
6433,2015-06-30,2019-06-30,2018-07-31,2018-11-30,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,2100,NULL,101000,13000,39000
6434,2014-10-31,2018-10-31,2018-06-30,2018-06-30,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_C,E,No,1400,NULL,45000,19000,39000
6435,2014-12-31,2018-12-31,2018-11-30,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,400,0,48000,16000,43000
6436,2015-07-31,2019-07-31,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,5100,NULL,79000,14000,40000
6437,2014-12-31,2018-12-31,2018-04-30,2018-05-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_C,C,Moderate,1900,NULL,87000,16000,44000
6438,2015-02-28,2019-02-28,2018-11-30,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,NULL,0,77000,14000,41000
6439,2015-03-31,2019-03-31,2018-11-30,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,F,No,NULL,NULL,77000,14000,40000
