VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
6428,2014-09-30,2018-09-30,2018-08-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Mild,600.0,500.0,61000,17000,41000
6429,2014-09-30,2018-04-30,2018-02-28,2018-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,400.0,400.0,76000,16000,40000
6435,2014-12-31,2018-12-31,2018-11-30,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,400.0,0.0,48000,16000,43000
6442,2014-10-31,2018-10-31,2018-05-31,2018-07-31,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,No,1600.0,400.0,38000,19000,41000
6444,2015-10-31,2019-10-31,2019-08-31,2019-09-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,Moderate,4400.0,500.0,97000,12000,39000
6447,2015-03-31,2019-03-31,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,400.0,500.0,88000,16000,36000
6449,2015-05-31,2019-05-31,2019-05-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,5300.0,1000.0,116000,11000,36000
6452,2015-05-31,2019-05-31,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,2400.0,400.0,52000,15000,40000
6458,2015-07-31,2019-07-31,2019-02-28,2019-04-30,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,500.0,1900.0,76000,15000,40000
6466,2014-09-30,2018-09-30,2018-04-30,2018-09-30,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1500.0,500.0,73000,15000,40000
6468,2014-04-30,2018-04-30,2018-04-30,2018-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,100.0,600.0,85000,15000,36000
6474,2015-08-31,2018-11-30,2018-11-30,2019-01-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,Moderate,1800.0,800.0,38000,17000,45000
6480,2015-03-31,2019-03-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Moderate,2300.0,500.0,76000,12000,37000
6484,2014-06-30,2018-06-30,2018-05-31,2018-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1800.0,500.0,42000,17000,37000
6489,2015-03-31,2019-03-31,2019-03-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,Moderate,3200.0,500.0,80000,11000,38000
6491,2015-04-30,2018-04-30,2018-03-31,2018-04-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,No,2300.0,400.0,44000,19000,40000
6492,2015-02-28,2018-02-28,2018-02-28,2018-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,4300.0,400.0,91000,13000,35000
6497,2014-12-31,2018-12-31,2018-12-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,800.0,100.0,76000,15000,41000
6503,2015-06-30,2019-06-30,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1600.0,500.0,80000,13000,36000
6504,2014-11-30,2018-11-30,2018-08-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,3900.0,500.0,85000,15000,38000
6505,2015-02-28,2019-02-28,2019-02-28,2019-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,2300.0,1500.0,59000,14000,37000
6507,2015-07-31,2018-10-31,2018-10-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,900.0,500.0,83000,16000,42000
6508,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,500.0,500.0,91000,14000,43000
6512,2015-07-31,2019-07-31,2019-06-30,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1500.0,500.0,44000,15000,44000
6518,2015-06-30,2019-06-30,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,1000.0,500.0,75000,13000,37000
6519,2015-06-30,2019-06-30,2019-06-30,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,3700.0,600.0,88000,13000,39000
6521,2015-06-30,2019-06-30,2019-06-30,2019-09-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,300.0,400.0,72000,12000,42000
6522,2015-06-30,2019-06-30,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1400.0,600.0,93000,14000,42000
6532,2014-09-30,2018-09-30,2018-09-30,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,1800.0,400.0,31000,16000,38000
6533,2014-07-31,2018-07-31,2018-04-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1700.0,600.0,45000,16000,35000
6534,2014-06-30,2018-06-30,2018-06-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Moderate,1600.0,900.0,55000,17000,35000
6539,2014-11-30,2018-11-30,2018-11-30,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,4500.0,100.0,35000,16000,41000
