VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP,Realized_Value
6428,2014-09-30,2018-09-30,2018-08-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Mild,600,500,61000,17000,41000,0.414634146
6429,2014-09-30,2018-04-30,2018-02-28,2018-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,400,400,76000,16000,40000,0.4
6435,2014-12-31,2018-12-31,2018-11-30,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,400,0,48000,16000,43000,0.372093023
6442,2014-10-31,2018-10-31,2018-05-31,2018-07-31,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,No,1600,400,38000,19000,41000,0.463414634
6447,2015-03-31,2019-03-31,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,400,500,88000,16000,36000,0.444444444
6452,2015-05-31,2019-05-31,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,2400,400,52000,15000,40000,0.375
6466,2014-09-30,2018-09-30,2018-04-30,2018-09-30,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1500,500,73000,15000,40000,0.375
6468,2014-04-30,2018-04-30,2018-04-30,2018-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,100,600,85000,15000,36000,0.416666667
6474,2015-08-31,2018-11-30,2018-11-30,2019-01-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,Moderate,1800,800,38000,17000,45000,0.377777778
6480,2015-03-31,2019-03-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,Moderate,2300,500,76000,12000,37000,0.324324324
6484,2014-06-30,2018-06-30,2018-05-31,2018-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1800,500,42000,17000,37000,0.459459459
6489,2015-03-31,2019-03-31,2019-03-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,Moderate,3200,500,80000,11000,38000,0.289473684
6491,2015-04-30,2018-04-30,2018-03-31,2018-04-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,No,2300,400,44000,19000,40000,0.475
6497,2014-12-31,2018-12-31,2018-12-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,G,No,800,100,76000,15000,41000,0.365853659
6503,2015-06-30,2019-06-30,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1600,500,80000,13000,36000,0.361111111
6507,2015-07-31,2018-10-31,2018-10-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,900,500,83000,16000,42000,0.380952381
6508,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,500,500,91000,14000,43000,0.325581395
6512,2015-07-31,2019-07-31,2019-06-30,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1500,500,44000,15000,44000,0.340909091
6518,2015-06-30,2019-06-30,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,1000,500,75000,13000,37000,0.351351351
6521,2015-06-30,2019-06-30,2019-06-30,2019-09-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,300,400,72000,12000,42000,0.285714286
6522,2015-06-30,2019-06-30,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1400,600,93000,14000,42000,0.333333333
6532,2014-09-30,2018-09-30,2018-09-30,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,1800,400,31000,16000,38000,0.421052632
6533,2014-07-31,2018-07-31,2018-04-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,1700,600,45000,16000,35000,0.457142857
6553,2014-08-31,2018-08-31,2018-07-31,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,No,300,400,38000,17000,41000,0.414634146
6559,2014-10-31,2018-10-31,2018-10-31,2018-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_C,H,Major,1000,500,60000,14000,37000,0.378378378
6564,2014-12-31,2018-12-31,2018-11-30,2019-01-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,2100,500,72000,15000,40000,0.375
6569,2015-03-31,2018-03-31,2018-03-31,2018-04-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_C,H,Mild,500,400,27000,20000,43000,0.465116279
6574,2015-04-30,2019-04-30,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,2500,600,78000,14000,35000,0.4
6581,2015-05-31,2019-05-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_C,H,No,100,600,69000,14000,36000,0.388888889
6586,2014-11-30,2018-11-30,2018-07-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_3,MODEL_C,H,No,1100,700,60000,16000,42000,0.380952381
6587,2014-08-31,2018-08-31,2018-08-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_3,MODEL_C,H,Moderate,3400,400,75000,19000,46000,0.413043478
6588,2014-09-30,2018-09-30,2018-02-28,2018-06-30,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_3,MODEL_C,H,No,1600,800,87000,17000,43000,0.395348837
6594,2014-09-30,2018-09-30,2018-07-31,2018-09-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_3,MODEL_C,H,Major,3300,400,60000,21000,50000,0.42
6606,2015-10-31,2019-01-31,2018-12-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_3,MODEL_C,H,No,1300,600,68000,17000,45000,0.377777778
6608,2015-09-30,2019-09-30,2019-09-30,2019-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_3,MODEL_C,H,No,500,500,76000,13000,44000,0.295454545
6613,2015-09-30,2019-09-30,2019-09-30,2019-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_3,MODEL_C,H,No,600,500,76000,12000,41000,0.292682927
6621,2015-10-31,2019-10-31,2019-08-31,2019-09-30,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Major,200,500,55000,20000,44000,0.454545455
6627,2015-12-31,2019-12-31,2019-11-30,2019-12-31,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,No,1800,700,76000,17000,42000,0.404761905
6629,2016-07-31,2019-07-31,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Moderate,1100,400,67000,24000,45000,0.533333333
6633,2016-07-31,2019-07-31,2019-07-31,2019-10-31,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Moderate,200,700,33000,21000,43000,0.488372093
6635,2015-11-30,2019-11-30,2019-11-30,2020-01-31,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Moderate,900,400,73000,20000,45000,0.444444444
6647,2016-03-31,2019-03-31,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,No,300,400,32000,23000,39000,0.58974359
6649,2016-06-30,2020-06-30,2018-11-30,2018-12-31,Terminated Prior to Maturity Date,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Major,900,400,64000,21000,45000,0.466666667
6650,2016-07-31,2020-07-31,2019-11-30,2019-12-31,Terminated Prior to Maturity Date,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Moderate,800,400,23000,24000,47000,0.510638298
6651,2016-08-31,2019-08-31,2019-08-31,2019-09-30,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,Major,100,400,22000,24000,48000,0.5
6653,2016-07-31,2018-07-31,2018-07-31,2018-08-31,Terminated at End of Maturity,Independent Retailer,2,2002,TRIM_1,MODEL_C,H,Major,1900,500,38000,24000,42000,0.571428571
6654,2016-07-31,2019-07-31,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,No,100,500,28000,24000,45000,0.533333333
6671,2015-10-31,2019-10-31,2019-10-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,No,900,400,67000,19000,41000,0.463414634
6674,2016-04-30,2019-10-31,2019-10-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,No,1000,400,82000,19000,46000,0.413043478
6677,2016-03-31,2019-03-31,2019-03-31,2019-04-30,Terminated at End of Maturity,Independent Retailer,2,2002,TRIM_1,MODEL_C,H,No,2800,500,45000,22000,42000,0.523809524
6682,2016-02-29,2020-02-29,2019-10-31,2019-10-31,Terminated Prior to Maturity Date,Network Retailer,2,2002,TRIM_1,MODEL_C,C,No,3100,300,55000,20000,42000,0.476190476
6685,2015-12-31,2019-12-31,2019-10-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,Major,700,400,41000,18000,41000,0.43902439
6689,2016-06-30,2020-06-30,2019-10-31,2019-12-31,Terminated Prior to Maturity Date,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,Major,300,400,51000,20000,39000,0.512820513
6692,2016-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,1,2002,TRIM_1,MODEL_C,H,No,600,400,25000,25000,45000,0.555555556
6699,2015-10-31,2019-10-31,2019-11-30,2019-12-31,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,No,500,600,35000,20000,40000,0.5
6703,2016-06-30,2019-06-30,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,No,800,600,48000,26000,46000,0.565217391
6705,2016-08-31,2019-11-30,2019-11-30,2019-12-31,Terminated at End of Maturity,Independent Retailer,3,2002,TRIM_1,MODEL_C,H,Moderate,2700,500,65000,19000,39000,0.487179487
