VIN_NO,TYPE,COLOUR
1,Upholstery Type,BLACK
1,Exterior Color,WHITE
2,Upholstery Type,BLACK
2,Exterior Color,GREY
3,Upholstery Type,BLACK
3,Exterior Color,SILVER
4,Exterior Color,WHITE
4,Upholstery Type,BEIGE
5,Upholstery Type,BLACK
5,Exterior Color,BLACK
6,Upholstery Type,BROWN
6,Exterior Color,GREY
7,Upholstery Type,BLACK
7,Exterior Color,WHITE
8,Exterior Color,BLUE
8,Upholstery Type,BROWN
9,Upholstery Type,RED
9,Exterior Color,BLACK
10,Upholstery Type,RED
10,Exterior Color,BLACK
11,Upholstery Type,BROWN
11,Exterior Color,BLACK
12,Exterior Color,WHITE
12,Upholstery Type,BLACK
13,Upholstery Type,BLACK
13,Exterior Color,BLACK
14,Upholstery Type,BLACK
14,Exterior Color,GREY
15,Upholstery Type,BLACK
15,Exterior Color,GREY
16,Exterior Color,WHITE
16,Upholstery Type,BLACK
17,Upholstery Type,BLACK
17,Exterior Color,GREY
18,Upholstery Type,GREY
18,Exterior Color,GREY
19,Upholstery Type,BLACK
19,Exterior Color,GREY
20,Upholstery Type,BROWN
20,Exterior Color,GREY
21,Upholstery Type,BLACK
21,Exterior Color,BLACK
22,Exterior Color,WHITE
22,Upholstery Type,BLACK
23,Upholstery Type,BLACK
23,Exterior Color,GREY
24,Exterior Color,BLACK
24,Upholstery Type,BLACK
25,Upholstery Type,BEIGE
25,Exterior Color,UNDEF
26,Exterior Color,BLUE
26,Upholstery Type,UNDEF
27,Upholstery Type,BLACK
27,Exterior Color,WHITE
28,Exterior Color,BLACK
28,Upholstery Type,GREY
29,Exterior Color,BLACK
29,Upholstery Type,BLACK
30,Exterior Color,WHITE
30,Upholstery Type,BROWN
31,Exterior Color,UNDEF
31,Upholstery Type,UNDEF
32,Upholstery Type,BLACK
32,Exterior Color,BLACK
33,Upholstery Type,BLACK
33,Exterior Color,SILVER
34,Exterior Color,BLACK
34,Upholstery Type,BLACK
35,Exterior Color,SILVER
35,Upholstery Type,BLACK
36,Exterior Color,WHITE
36,Upholstery Type,BLACK
37,Exterior Color,SILVER
37,Upholstery Type,RED
38,Exterior Color,BLUE
38,Upholstery Type,GREY
39,Exterior Color,WHITE
39,Upholstery Type,BLACK
40,Upholstery Type,BLACK
40,Exterior Color,BLACK
41,Upholstery Type,BLACK
41,Exterior Color,BLACK
42,Upholstery Type,UNDEF
42,Exterior Color,UNDEF
43,Exterior Color,GREY
43,Upholstery Type,BLACK
44,Upholstery Type,GREY
44,Exterior Color,GREY
45,Upholstery Type,UNDEF
45,Exterior Color,BLACK
46,Exterior Color,RED
46,Upholstery Type,GREY
47,Exterior Color,WHITE
47,Upholstery Type,BLACK
48,Exterior Color,BLACK
48,Upholstery Type,BROWN
49,Exterior Color,BLACK
49,Upholstery Type,BLACK
50,Exterior Color,GREY
50,Upholstery Type,RED
51,Upholstery Type,BLACK
51,Exterior Color,BLACK
52,Upholstery Type,BROWN
52,Exterior Color,WHITE
53,Upholstery Type,BLACK
53,Exterior Color,BLACK
54,Exterior Color,UNDEF
54,Upholstery Type,BLACK
55,Upholstery Type,BLACK
55,Exterior Color,BLACK
56,Exterior Color,RED
56,Upholstery Type,BLACK
