VIN_#,PACKAGE
000001,OPTION GROUP_A
000001,OPTION GROUP_D
000001,OPTION GROUP_E
000001,OPTION GROUP_I
000001,OPTION GROUP_K
000001,OPTION GROUP_L
000002,OPTION GROUP_A
000002,OPTION GROUP_E
000002,OPTION GROUP_L
000003,OPTION GROUP_A
000003,OPTION GROUP_E
000003,OPTION GROUP_L
000004,OPTION GROUP_A
000004,OPTION GROUP_E
000004,OPTION GROUP_L
000005,OPTION GROUP_A
000005,OPTION GROUP_E
000005,OPTION GROUP_L
000006,OPTION GROUP_A
000006,OPTION GROUP_E
000006,OPTION GROUP_L
000007,OPTION GROUP_A
000007,OPTION GROUP_E
000007,OPTION GROUP_L
000008,OPTION GROUP_E
000008,OPTION GROUP_L
000009,OPTION GROUP_A
000009,OPTION GROUP_E
000009,OPTION GROUP_L
000010,OPTION GROUP_E
000010,OPTION GROUP_L
000011,OPTION GROUP_E
000011,OPTION GROUP_L
000012,OPTION GROUP_A
000012,OPTION GROUP_E
000012,OPTION GROUP_L
000013,OPTION GROUP_E
000013,OPTION GROUP_L
000014,OPTION GROUP_E
000014,OPTION GROUP_L
000015,OPTION GROUP_A
000015,OPTION GROUP_E
000015,OPTION GROUP_L
000016,OPTION GROUP_A
000016,OPTION GROUP_E
000016,OPTION GROUP_L
000017,OPTION GROUP_E
000017,OPTION GROUP_L
000018,OPTION GROUP_A
000018,OPTION GROUP_D
000018,OPTION GROUP_E
000018,OPTION GROUP_L
000019,OPTION GROUP_A
000019,OPTION GROUP_D
000019,OPTION GROUP_E
000019,OPTION GROUP_L
000020,OPTION GROUP_A
000020,OPTION GROUP_E
000020,OPTION GROUP_L
000021,OPTION GROUP_A
000021,OPTION GROUP_E
000021,OPTION GROUP_L
000022,OPTION GROUP_A
000022,OPTION GROUP_E
000022,OPTION GROUP_K
000022,OPTION GROUP_L
000023,OPTION GROUP_A
000023,OPTION GROUP_E
000023,OPTION GROUP_L
000024,OPTION GROUP_A
000024,OPTION GROUP_E
000024,OPTION GROUP_L
000025,OPTION GROUP_A
000025,OPTION GROUP_E
000025,OPTION GROUP_K
000025,OPTION GROUP_L
000026,OPTION GROUP_A
000026,OPTION GROUP_E
000026,OPTION GROUP_L
000027,OPTION GROUP_A
000027,OPTION GROUP_D
000027,OPTION GROUP_E
000027,OPTION GROUP_L
000028,OPTION GROUP_A
000028,OPTION GROUP_E
000028,OPTION GROUP_L
000029,OPTION GROUP_A
000029,OPTION GROUP_D
000029,OPTION GROUP_E
000029,OPTION GROUP_I
000029,OPTION GROUP_L
000030,OPTION GROUP_A
000030,OPTION GROUP_E
000030,OPTION GROUP_L
000031,OPTION GROUP_A
000031,OPTION GROUP_D
